Rank,Title,Studio,Lifetime Gross /Theaters,Lifetime Gross /Theaters2,Opening /Theaters,Opening /Theaters2,DATE
58,Superman,WB,134218018,817,7465343,508,15-12-1978
59,The Wolverine,Fox,132556852,3924,53113752,3924,26-07-2013
60,Hulk,Uni.,132177234,3674,62128420,3660,20-06-2003
61,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,3963,58051684,3959,15-06-2007
62,Green Lantern,WB,116601172,3816,53174303,3816,17-06-2011
63,Ghost Rider,Sony,115802596,3620,45388836,3619,16-02-2007
64,Superman II,WB,108185706,1878,14100523,1397,19-06-1981
65,Watchmen,WB,107509799,3611,55214334,3611,06-03-2009
66,Batman and Robin,WB,107325195,2942,42872605,2934,20-06-1997
67,Daredevil,Fox,102543518,3474,40310419,3471,14-02-2003
